time,open,high,low,close,tick_volume,spread,real_volume
2020-12-03 00:00:00,1830.2,1831.85,1826.13,1826.51,19335,5,0
2020-12-03 04:00:00,1826.51,1837.33,1826.44,1834.37,24836,5,0
2020-12-03 08:00:00,1834.37,1843.5,1830.63,1837.81,42223,5,0
2020-12-03 12:00:00,1837.81,1843.95,1834.77,1836.2,51504,5,0
2020-12-03 16:00:00,1836.2,1843.33,1823.73,1837.93,95655,5,0
2020-12-03 20:00:00,1837.93,1842.3,1835.38,1840.89,35346,5,0
2020-12-04 00:00:00,1840.0,1842.7,1837.94,1839.3,14403,5,0
2020-12-04 04:00:00,1839.3,1844.82,1837.97,1838.53,24615,5,0
2020-12-04 08:00:00,1838.53,1844.24,1837.79,1842.22,40075,5,0
2020-12-04 12:00:00,1842.21,1847.85,1833.15,1837.75,74915,5,0
2020-12-04 16:00:00,1837.75,1848.21,1829.16,1834.16,126412,5,0
2020-12-04 20:00:00,1834.16,1839.13,1833.72,1838.58,23715,5,0
2020-12-07 00:00:00,1836.85,1839.44,1833.0,1837.64,28089,5,0
2020-12-07 04:00:00,1837.64,1842.26,1836.12,1842.1,26120,5,0
2020-12-07 08:00:00,1842.1,1842.43,1821.96,1831.79,60644,5,0
2020-12-07 12:00:00,1831.79,1840.17,1827.5,1839.34,53339,5,0
2020-12-07 16:00:00,1839.34,1868.59,1838.04,1865.45,95825,5,0
2020-12-07 20:00:00,1865.45,1865.65,1858.03,1862.17,35614,5,0
2020-12-08 00:00:00,1861.59,1866.44,1861.03,1863.88,24649,5,0
2020-12-08 04:00:00,1863.85,1871.82,1863.53,1867.4,29065,5,0
2020-12-08 08:00:00,1867.4,1869.7,1861.27,1864.54,46536,5,0
2020-12-08 12:00:00,1864.52,1872.64,1860.27,1864.81,71941,5,0
2020-12-08 16:00:00,1864.8,1875.27,1862.03,1872.81,97324,5,0
2020-12-08 20:00:00,1872.81,1873.38,1869.09,1870.22,23882,5,0
2020-12-09 00:00:00,1870.59,1870.59,1865.34,1867.39,17549,5,0
2020-12-09 04:00:00,1867.39,1868.56,1855.62,1859.12,44639,5,0
2020-12-09 08:00:00,1859.12,1866.17,1858.05,1860.91,55242,5,0
2020-12-09 12:00:00,1860.91,1864.22,1851.51,1859.08,80511,5,0
2020-12-09 16:00:00,1859.08,1859.21,1837.42,1841.84,144597,5,0
2020-12-09 20:00:00,1841.84,1841.92,1825.47,1839.85,76770,5,0
2020-12-10 00:00:00,1839.28,1840.04,1833.68,1839.42,25059,5,0
2020-12-10 04:00:00,1839.42,1842.48,1838.07,1839.39,29602,5,0
2020-12-10 08:00:00,1839.39,1840.08,1828.72,1831.97,57976,5,0
2020-12-10 12:00:00,1831.97,1846.81,1830.78,1845.42,79358,5,0
2020-12-10 16:00:00,1845.43,1850.11,1830.46,1830.65,124995,5,0
2020-12-10 20:00:00,1830.65,1836.94,1830.23,1836.62,46215,5,0
2020-12-11 00:00:00,1836.07,1840.35,1835.4,1840.14,20428,5,0
2020-12-11 04:00:00,1840.14,1840.7,1834.26,1834.75,25549,5,0
2020-12-11 08:00:00,1834.75,1837.72,1831.51,1836.95,48508,5,0
2020-12-11 12:00:00,1836.95,1841.05,1824.0,1839.98,81694,5,0
2020-12-11 16:00:00,1839.98,1847.69,1834.83,1841.99,80783,5,0
2020-12-11 20:00:00,1841.99,1842.63,1837.84,1839.74,27630,5,0
2020-12-14 00:00:00,1840.69,1841.22,1834.27,1835.32,24054,5,0
2020-12-14 04:00:00,1835.32,1837.62,1832.84,1834.45,20046,5,0
2020-12-14 08:00:00,1834.45,1835.16,1825.42,1828.97,58150,5,0
2020-12-14 12:00:00,1828.97,1834.37,1819.05,1832.66,84750,5,0
2020-12-14 16:00:00,1832.66,1839.01,1822.16,1828.88,112589,5,0
2020-12-14 20:00:00,1828.88,1830.29,1824.51,1826.97,38941,5,0
2020-12-15 00:00:00,1826.94,1829.93,1825.48,1829.69,17679,5,0
2020-12-15 04:00:00,1829.69,1840.89,1829.04,1838.55,36455,5,0
2020-12-15 08:00:00,1838.56,1847.5,1837.78,1845.66,55756,5,0
2020-12-15 12:00:00,1845.66,1855.38,1842.42,1852.76,71525,5,0
2020-12-15 16:00:00,1852.76,1854.42,1844.63,1850.41,86417,5,0
2020-12-15 20:00:00,1850.41,1854.72,1850.36,1853.24,42252,5,0
2020-12-16 00:00:00,1853.61,1854.1,1850.92,1851.78,15624,5,0
2020-12-16 04:00:00,1851.78,1858.34,1851.74,1855.44,38016,5,0
2020-12-16 08:00:00,1855.44,1865.39,1853.08,1864.96,70963,5,0
2020-12-16 12:00:00,1864.96,1865.73,1849.28,1851.78,99749,5,0
2020-12-16 16:00:00,1851.78,1858.72,1849.43,1854.9,117087,5,0
2020-12-16 20:00:00,1854.9,1865.68,1844.78,1864.52,100458,5,0
2020-12-17 00:00:00,1863.9,1867.49,1862.4,1864.46,24577,5,0
2020-12-17 04:00:00,1864.46,1870.4,1861.97,1869.57,33998,5,0
2020-12-17 08:00:00,1869.57,1883.12,1868.32,1878.67,60041,5,0
2020-12-17 12:00:00,1878.67,1890.06,1871.91,1887.84,90360,5,0
2020-12-17 16:00:00,1887.84,1896.27,1883.49,1887.36,113432,5,0
2020-12-17 20:00:00,1887.36,1888.95,1882.56,1885.39,30721,5,0
2020-12-18 00:00:00,1885.36,1885.84,1878.55,1879.97,17028,5,0
2020-12-18 04:00:00,1879.97,1886.7,1879.01,1882.72,22244,5,0
2020-12-18 08:00:00,1882.72,1883.34,1877.45,1879.6,39772,5,0
2020-12-18 12:00:00,1879.6,1889.66,1878.04,1885.19,63475,5,0
2020-12-18 16:00:00,1885.19,1888.25,1877.54,1884.13,79241,5,0
2020-12-18 20:00:00,1884.13,1884.82,1878.44,1880.61,24599,5,0
2020-12-21 00:00:00,1881.66,1899.41,1881.27,1896.69,32938,5,0
2020-12-21 04:00:00,1896.7,1903.14,1893.41,1902.76,32511,5,0
2020-12-21 08:00:00,1902.75,1906.74,1880.09,1886.52,65444,5,0
2020-12-21 12:00:00,1886.52,1886.52,1854.98,1882.17,127429,5,0
2020-12-21 16:00:00,1882.16,1885.77,1874.56,1877.98,105006,5,0
2020-12-21 20:00:00,1877.97,1879.85,1873.91,1876.47,33217,5,0
2020-12-22 00:00:00,1875.9,1882.86,1875.72,1881.54,21703,5,0
2020-12-22 04:00:00,1881.54,1884.26,1874.43,1875.95,31541,5,0
2020-12-22 08:00:00,1875.95,1878.82,1866.59,1872.02,50440,5,0
2020-12-22 12:00:00,1872.02,1879.06,1870.14,1878.75,49883,5,0
2020-12-22 16:00:00,1878.75,1881.49,1860.67,1867.61,118198,5,0
2020-12-22 20:00:00,1867.61,1867.99,1858.91,1859.91,38980,5,0
2020-12-23 00:00:00,1859.67,1867.56,1859.58,1866.02,28313,5,0
2020-12-23 04:00:00,1866.02,1868.05,1861.73,1866.41,31542,5,0
2020-12-23 08:00:00,1866.41,1872.34,1863.15,1868.68,44640,5,0
2020-12-23 12:00:00,1868.68,1870.53,1856.98,1868.58,187919,5,0
2020-12-23 16:00:00,1868.58,1878.53,1866.55,1873.03,303027,5,0
2020-12-23 20:00:00,1873.03,1874.54,1869.83,1873.13,70857,5,0
2020-12-24 00:00:00,1872.23,1877.56,1871.01,1876.57,45861,5,0
2020-12-24 04:00:00,1876.57,1879.97,1873.84,1875.79,51827,5,0
2020-12-24 08:00:00,1875.79,1880.6,1874.8,1878.02,86685,5,0
2020-12-24 12:00:00,1878.06,1878.11,1871.1,1873.81,59359,5,0
2020-12-24 16:00:00,1873.79,1879.91,1869.49,1879.61,134067,5,0
2020-12-24 20:00:00,1879.61,1883.58,1878.23,1878.56,5048,5,0
2020-12-28 00:00:00,1882.38,1899.03,1878.68,1898.27,39961,5,0
