time,open,high,low,close,tick_volume,spread,real_volume
2024-12-02 01:00:00,2650.08,2650.99,2647.86,2648.6,977,9,0
2024-12-02 01:15:00,2648.63,2650.31,2644.33,2646.23,976,9,0
2024-12-02 01:30:00,2645.83,2646.29,2642.86,2645.48,912,9,0
2024-12-02 01:45:00,2645.48,2647.68,2645.17,2645.54,785,9,0
2024-12-02 02:00:00,2645.7,2647.71,2644.71,2644.84,914,9,0
2024-12-02 02:15:00,2644.84,2645.27,2643.01,2644.23,1023,10,0
2024-12-02 02:30:00,2644.25,2644.56,2629.91,2632.68,1662,12,0
2024-12-02 02:45:00,2632.68,2638.74,2630.96,2637.44,1712,8,0
2024-12-02 03:00:00,2637.63,2637.82,2631.11,2632.43,2745,9,0
2024-12-02 03:15:00,2632.4,2634.98,2622.85,2627.28,2641,9,0
2024-12-02 03:30:00,2627.35,2636.51,2627.35,2636.49,2207,9,0
2024-12-02 03:45:00,2636.51,2639.05,2634.88,2635.96,1996,9,0
2024-12-02 04:00:00,2636.0,2638.07,2630.45,2632.24,2256,9,0
2024-12-02 04:15:00,2632.27,2632.27,2628.14,2630.06,1422,9,0
2024-12-02 04:30:00,2629.92,2633.24,2629.01,2631.13,2050,9,0
2024-12-02 04:45:00,2631.35,2632.27,2625.68,2626.71,1820,9,0
2024-12-02 05:00:00,2626.6,2627.13,2624.09,2626.17,1995,8,0
2024-12-02 05:15:00,2626.2,2628.62,2625.53,2628.57,1591,9,0
2024-12-02 05:30:00,2628.58,2628.63,2624.67,2627.37,1303,9,0
2024-12-02 05:45:00,2627.38,2631.05,2626.92,2629.42,1018,10,0
2024-12-02 06:00:00,2629.47,2629.99,2627.31,2629.53,966,9,0
2024-12-02 06:15:00,2629.45,2629.45,2626.8,2628.79,1024,9,0
2024-12-02 06:30:00,2628.69,2630.6,2627.76,2627.76,893,9,0
2024-12-02 06:45:00,2627.77,2628.78,2626.15,2628.68,1079,9,0
2024-12-02 07:00:00,2628.55,2628.8,2625.4,2625.48,1304,9,0
2024-12-02 07:15:00,2625.48,2625.76,2621.59,2624.41,1388,9,0
2024-12-02 07:30:00,2624.48,2627.72,2622.9,2627.07,1808,10,0
2024-12-02 07:45:00,2627.09,2628.76,2623.07,2623.16,2032,9,0
2024-12-02 08:00:00,2623.12,2624.72,2621.86,2623.73,1860,9,0
2024-12-02 08:15:00,2623.74,2625.28,2622.44,2624.72,1606,9,0
2024-12-02 08:30:00,2624.74,2626.29,2622.67,2625.87,1782,9,0
2024-12-02 08:45:00,2625.94,2627.76,2625.4,2625.87,1362,9,0
2024-12-02 09:00:00,2625.96,2630.05,2625.1,2629.59,1705,10,0
2024-12-02 09:15:00,2629.58,2631.75,2628.45,2631.45,1233,9,0
2024-12-02 09:30:00,2631.45,2633.59,2630.41,2632.72,1513,9,0
2024-12-02 09:45:00,2632.74,2632.74,2628.79,2629.82,1547,10,0
2024-12-02 10:00:00,2629.83,2631.9,2626.76,2630.56,2057,9,0
2024-12-02 10:15:00,2630.56,2632.82,2629.4,2630.23,1580,9,0
2024-12-02 10:30:00,2630.17,2630.4,2626.4,2629.44,1631,9,0
2024-12-02 10:45:00,2629.54,2631.74,2628.75,2629.62,1604,9,0
2024-12-02 11:00:00,2629.46,2634.35,2628.49,2634.15,2005,10,0
2024-12-02 11:15:00,2634.2,2636.72,2633.83,2635.56,1797,9,0
2024-12-02 11:30:00,2635.63,2636.89,2633.83,2634.37,1212,9,0
2024-12-02 11:45:00,2634.36,2634.61,2632.69,2633.58,1295,9,0
2024-12-02 12:00:00,2633.56,2637.32,2633.24,2636.38,1481,9,0
2024-12-02 12:15:00,2636.36,2637.68,2634.68,2636.75,1381,9,0
2024-12-02 12:30:00,2636.74,2637.36,2633.98,2634.51,1285,9,0
2024-12-02 12:45:00,2634.45,2636.43,2634.38,2635.82,1054,9,0
2024-12-02 13:00:00,2635.84,2640.05,2635.79,2639.84,1542,9,0
2024-12-02 13:15:00,2639.84,2643.54,2639.33,2639.57,1847,8,0
2024-12-02 13:30:00,2639.55,2646.07,2636.85,2645.64,2150,9,0
2024-12-02 13:45:00,2645.64,2646.22,2641.42,2641.82,1344,9,0
2024-12-02 14:00:00,2641.78,2645.06,2639.74,2643.2,1687,9,0
2024-12-02 14:15:00,2643.19,2644.18,2641.66,2642.02,1444,8,0
2024-12-02 14:30:00,2642.06,2643.41,2640.69,2641.31,1482,9,0
2024-12-02 14:45:00,2641.35,2643.65,2639.09,2640.96,1823,8,0
2024-12-02 15:00:00,2640.96,2641.49,2637.14,2640.3,2424,9,0
2024-12-02 15:15:00,2640.23,2647.14,2640.15,2644.67,2292,9,0
2024-12-02 15:30:00,2644.69,2648.66,2642.97,2646.79,2531,9,0
